rank,player,position,proj,vor,auction
1,Puka Nacua,WR,266,131.0,90
2,Jaxon Smith-Njigba,WR,256,120.4,83
3,Jahmyr Gibbs,RB,264,118.0,81
4,Jonathan Taylor,RB,258,112.4,78
5,De'Von Achane,RB,251,104.9,73
6,Bijan Robinson,RB,250,104.1,72
7,Christian McCaffrey,RB,240,94.3,65
8,Ja'Marr Chase,WR,229,93.5,65
9,Amon-Ra St. Brown,WR,224,88.6,61
10,Derrick Henry,RB,233,86.8,60
11,James Cook,RB,226,80.6,56
12,Josh Jacobs,RB,221,75.0,52
13,Drake London,WR,209,73.5,51
14,Kyren Williams,RB,216,69.6,48
15,George Pickens,WR,197,61.9,43
16,Ashton Jeanty,RB,204,58.1,41
17,Chase Brown,RB,203,57.0,40
18,Carnell Tate,WR,190,55.3,39
19,D'Andre Swift,RB,195,49.5,35
20,CeeDee Lamb,WR,185,49.4,35
21,A.J. Brown,WR,182,46.9,33
22,Breece Hall,RB,192,45.6,32
23,Jeremiyah Love,RB,190,44.6,31
24,Justin Jefferson,WR,179,43.6,31
25,Trey McBride,TE,195,43.6,31
26,Davante Adams,WR,176,41.1,29
27,Chris Olave,WR,176,40.5,29
28,Cam Skattebo,RB,186,40.2,28
29,TreVeyon Henderson,RB,186,40.2,28
30,Saquon Barkley,RB,186,40.0,28
31,Zay Flowers,WR,175,39.7,28
32,Omarion Hampton,RB,186,39.7,28
33,Josh Allen,QB,365,39.7,28
34,Nico Collins,WR,174,39.2,28
35,Rashee Rice,WR,174,39.1,28
36,Brock Bowers,TE,183,37.7,27
37,Stefon Diggs,WR,172,37.1,26
38,Javonte Williams,RB,183,37.0,26
39,Tyreek Hill,WR,170,35.1,25
40,Travis Etienne,RB,179,33.2,24
