rank,player,position,proj,vor,auction
1,Jaxon Smith-Njigba,WR,325,165.3,97
2,Puka Nacua,WR,317,157.8,93
3,Jahmyr Gibbs,RB,298,137.8,81
4,Bijan Robinson,RB,286,126.3,74
5,De'Von Achane,RB,282,121.7,72
6,Jonathan Taylor,RB,276,116.5,69
7,Amon-Ra St. Brown,WR,275,116.0,68
8,Christian McCaffrey,RB,276,116.0,68
9,Ja'Marr Chase,WR,274,114.4,67
10,James Cook,RB,258,97.8,58
11,George Pickens,WR,254,94.2,56
12,Kyren Williams,RB,243,83.5,50
13,Drake London,WR,240,80.5,48
14,Josh Jacobs,RB,235,75.5,45
15,CeeDee Lamb,WR,232,72.8,43
16,Derrick Henry,RB,230,70.4,42
17,Chase Brown,RB,228,68.1,41
18,Ashton Jeanty,RB,224,64.4,38
19,A.J. Brown,WR,223,63.2,38
20,Trey McBride,TE,252,60.1,36
21,Nico Collins,WR,217,57.8,35
22,Chris Olave,WR,215,55.6,33
23,Rashee Rice,WR,214,55.0,33
24,Davante Adams,WR,212,52.8,32
25,Zay Flowers,WR,212,52.2,31
26,Cam Skattebo,RB,210,50.1,30
27,Breece Hall,RB,208,48.3,29
28,D'Andre Swift,RB,207,47.3,28
29,Javonte Williams,RB,206,46.6,28
30,TreVeyon Henderson,RB,206,46.4,28
31,Brock Bowers,TE,220,44.3,27
32,Carnell Tate,WR,202,42.2,26
33,Jeremiyah Love,RB,202,41.7,25
34,Stefon Diggs,WR,200,41.0,25
35,Wan'Dale Robinson,WR,200,40.1,24
36,Tee Higgins,WR,198,38.8,24
37,Emeka Egbuka,WR,198,38.4,23
38,Justin Jefferson,WR,198,38.1,23
39,Josh Allen,QB,362,37.5,23
40,Tyreek Hill,WR,197,37.4,23
