rank,player,position,proj,vor,auction
1,Jahmyr Gibbs,RB,251,118.0,96
2,Jonathan Taylor,RB,238,104.5,85
3,Puka Nacua,WR,213,104.3,85
4,Jaxon Smith-Njigba,WR,208,99.3,81
5,Derrick Henry,RB,232,98.7,80
6,Bijan Robinson,RB,227,93.8,77
7,De'Von Achane,RB,219,86.1,70
8,Christian McCaffrey,RB,216,83.4,68
9,James Cook,RB,206,73.3,60
10,Kyren Williams,RB,206,73.0,60
11,Carnell Tate,WR,179,70.7,58
12,Ja'Marr Chase,WR,178,69.6,57
13,Josh Jacobs,RB,198,65.1,53
14,Amon-Ra St. Brown,WR,173,64.2,53
15,Drake London,WR,168,59.8,49
16,Saquon Barkley,RB,191,58.2,48
17,George Pickens,WR,166,57.0,47
18,D'Andre Swift,RB,186,52.8,44
19,Breece Hall,RB,183,50.0,41
20,Chase Brown,RB,182,48.7,40
21,TreVeyon Henderson,RB,180,46.8,39
22,Ashton Jeanty,RB,179,46.3,38
23,Jeremiyah Love,RB,179,46.2,38
24,CeeDee Lamb,WR,155,46.2,38
25,Josh Allen,QB,370,38.0,32
26,Justin Jefferson,WR,146,37.6,31
27,Nico Collins,WR,145,36.6,30
28,A.J. Brown,WR,144,35.5,30
29,Davante Adams,WR,143,34.4,29
30,Tee Higgins,WR,143,34.1,28
31,Bucky Irving,RB,166,33.1,28
32,Brock Bowers,TE,147,31.9,27
33,Javonte Williams,RB,164,31.3,26
34,Cam Skattebo,RB,163,30.1,25
35,Trey McBride,TE,141,28.8,24
36,Chris Olave,WR,136,27.9,23
37,Emeka Egbuka,WR,136,27.0,23
38,Rashee Rice,WR,135,26.5,22
39,Zay Flowers,WR,135,26.3,22
40,Brian Thomas Jr.,WR,135,26.3,22
